Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 00:00:00",27.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 01:00:00",26.09,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 02:00:00",24.92,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 03:00:00",23.86,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 04:00:00",22.99,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 05:00:00",22.5,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 06:00:00",21.38,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 07:00:00",21.53,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 08:00:00",22.57,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 09:00:00",23.18,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 10:00:00",22.91,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 11:00:00",24.16,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 12:00:00",24.13,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 13:00:00",24.85,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 14:00:00",25.94,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 15:00:00",26.52,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 16:00:00",27.21,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 17:00:00",27.56,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 18:00:00",25.52,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 19:00:00",28.02,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 20:00:00",30.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 21:00:00",31.35,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 22:00:00",30.81,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-01 23:00:00",29.12,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 00:00:00",27.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 01:00:00",25.33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 02:00:00",24.37,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 03:00:00",23.59,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 04:00:00",22.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 05:00:00",22.63,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 06:00:00",22.45,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 07:00:00",22.9,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 08:00:00",23.52,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 09:00:00",24.77,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 10:00:00",25.73,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 11:00:00",26.82,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 12:00:00",27.75,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 13:00:00",28.31,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 14:00:00",29.07,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 15:00:00",29.98,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 16:00:00",30.44,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 17:00:00",29.35,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 18:00:00",28.64,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 19:00:00",29.15,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 20:00:00",32.49,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 21:00:00",33.06,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 22:00:00",32.69,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-02 23:00:00",31.33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 00:00:00",29.18,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 01:00:00",27.42,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 02:00:00",26.1,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 03:00:00",25.11,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 04:00:00",24.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 05:00:00",23.82,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 06:00:00",23.49,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 07:00:00",23.83,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 08:00:00",24.81,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 09:00:00",25.9,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 10:00:00",26.71,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-03 11:00:00",27.59,Normal
